IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
NUTSTUNTINGPREV,"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), model-based estimates",text,GLOBAL,Global,UN Region,29,Caribbean,Year,2022,true,,,,,,,,,,,,,11.3,,,10.2,,12.5,11.3 [10.2 - 12.5],,,EN,2024-04-29T23:00:00.000Z
NUTSTUNTINGPREV,"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), model-based estimates",text,GLOBAL,Global,UN Region,419,Latin America and the Caribbean,Year,2022,true,,,,,,,,,,,,,11.5,,,11,,12.1,11.5 [11.0 - 12.1],,,EN,2024-04-29T23:00:00.000Z
NUTSTUNTINGPREV,"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), model-based estimates",text,GLOBAL,Global,UN Region,57,Micronesia,Year,2022,true,,,,,,,,,,,,,13.5,,,10.1,,17.9,13.5 [10.1 - 17.9],,,EN,2024-04-29T23:00:00.000Z
NUTSTUNTINGPREV,"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), model-based estimates",text,GLOBAL,Global,UN Region,753,Eastern Asia and South-eastern Asia,Year,2022,true,,,,,,,,,,,,,13.9,,,13,,14.9,13.9 [13.0 - 14.9],,,EN,2024-04-29T23:00:00.000Z
NUTSTUNTINGPREV,"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), model-based estimates",text,GLOBAL,Global,UN Region,145,Western Asia,Year,2022,true,,,,,,,,,,,,,14,,,12.6,,15.5,14.0 [12.6 - 15.5],,,EN,2024-04-29T23:00:00.000Z
NUTSTUNTINGPREV,"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), model-based estimates",text,GLOBAL,Global,UN Region,13,Central America,Year,2022,true,,,,,,,,,,,,,16.9,,,16.1,,17.8,16.9 [16.1 - 17.8],,,EN,2024-04-29T23:00:00.000Z
NUTSTUNTINGPREV,"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), model-based estimates",text,GLOBAL,Global,UN Region,747,Western Asia and Northern Africa,Year,2022,true,,,,,,,,,,,,,17.9,,,16.5,,19.5,17.9 [16.5 - 19.5],,,EN,2024-04-29T23:00:00.000Z
NUTSTUNTINGPREV,"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), model-based estimates",text,GLOBAL,Global,UN Region,155,Western Europe,Year,2022,true,,,,,,,,,,,,,2.6,,,1.6,,4.2,2.6 [1.6 - 4.2],,,EN,2024-04-29T23:00:00.000Z
NUTSTUNTINGPREV,"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), model-based estimates",text,GLOBAL,Global,UN Region,722,Small Island Developing States (SIDS),Year,2022,true,,,,,,,,,,,,,21.1,,,18.5,,24,21.1 [18.5 - 24.0],,,EN,2024-04-29T23:00:00.000Z
NUTSTUNTINGPREV,"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), model-based estimates",text,GLOBAL,Global,UN Region,15,Northern Africa,Year,2022,true,,,,,,,,,,,,,21.7,,,19.2,,24.5,21.7 [19.2 - 24.5],,,EN,2024-04-29T23:00:00.000Z
